species,species_id,lat,long,is_fatal,sex,date
CPOR,Certain,-11.779554,133.503755,0,Male,2025-04-01
CPOR,Certain,-13.366861,141.722662,1,Male,2025-02-01
CPOR,Certain,-16.439398,123.080653,0,Male,2024-11-16
CPOR,Certain,-12.360909,135.274921,0,Male,2024-10-02
CPOR,Certain,-15.525,145.214999,1,Male,2024-08-03
CPOR,Certain,-14.345992,129.91733,1,Female,2024-07-02
CPOR,Certain,-14.276915,135.746944,0,Male,2024-05-01
CPOR,Certain,-9.372106,142.628124,1,Male,2024-04-18
CPOR,Certain,-12.651376,132.81756,0,Male,2024-01-13
CPOR,Certain,-14.565696,125.148925,1,Male,2023-10-28
CPOR,Certain,-13.973938,136.442986,0,Female,2023-10-28
CPOR,Certain,-14.24845,125.582031,0,Male,2023-10-01
CPOR,Certain,-12.862822,130.528948,0,Male,2023-10-01
CPOR,Certain,-13.163834,130.684661,0,Male,2023-07-10
CJOH,Certain,-17.285272,145.629155,0,Male,2023-05-27
CPOR,Certain,-11.91723,143.47568,0,Male,2023-05-27
CPOR,Certain,-13.973913,127.211401,0,Female,2023-05-15
CPOR,Certain,-13.890957,136.436469,0,Male,2023-05-01
CPOR,Certain,-15.110975,144.311844,1,Male,2023-04-29
CPOR,Certain,-15.599002,145.326923,0,Male,2023-04-08
CPOR,Certain,-16.423659,145.407788,0,Male,2023-04-04
CPOR,Certain,-12.613307,131.058747,0,Female,2023-03-16
CJOH,Certain,-17.408238,130.814465,0,Male,2023-03-01
CPOR,Certain,-15.926738,145.352099,0,Male,2023-02-22
CPOR,Certain,-13.641735,130.57333,0,Male,2023-01-26
CPOR,Certain,-15.620287,128.692315,0,Male,2022-12-03
CPOR,Certain,-16.379771,123.957734,0,Male,2022-10-17
CJOH,Certain,-18.68819,138.528851,0,Male,2022-05-15
CJOH,Certain,-16.175947,128.675688,0,Female,2022-05-02
CPOR,Certain,-13.214064,135.99838,0,Male,2022-03-15
CJOH,Certain,-19.303504,146.781159,0,Female,2022-02-24
CPOR,Certain,-15.124674,145.209523,0,Male,2021-11-03
CPOR,Certain,-12.566674,131.380237,0,Male,2021-09-27
CPOR,Certain,-13.426843,130.489762,0,Male,2021-08-17
CPOR,Certain,-12.991653,143.396739,0,Male,2021-08-05
CPOR,Certain,-12.991653,143.396739,0,Male,2021-08-05
CJOH,Certain,-15.792342,128.699263,0,Male,2021-05-02
CPOR,Certain,-12.789976,132.533048,0,Male,2021-04-24
CPOR,Certain,-15.757047,137.050955,0,Female,2021-03-07
CPOR,Certain,-13.750903,130.68828,0,Male,2021-03-02
CPOR,Certain,-18.371325,146.203217,1,Male,2021-02-11
CPOR,Certain,-12.502634,141.888697,0,Male,2021-01-31
CPOR,Certain,-16.868937,145.673395,0,Male,2021-01-28
CPOR,Certain,-16.74655,122.766182,0,Male,2020-10-09
CPOR,Certain,-14.667023,145.447006,0,Male,2020-09-23
CPOR,Certain,-12.380332,135.0035,0,Male,2020-04-28
CPOR,Certain,-11.632271,142.856598,0,Male,2019-11-10
CPOR,Certain,-11.143021,132.584399,0,Male,2019-10-26
CJOH,Certain,-13.163626,130.684362,0,Male,2019-08-04
CJOH,Certain,-13.163929,130.684635,0,Unknown,2019-07-08
CJOH,Certain,-13.16356,130.684733,0,Unknown,2019-07-08
CPOR,Certain,-12.813787,136.064093,1,Female,2018-10-12
CPOR,Certain,-15.605921,128.108354,0,Male,2018-03-13
CPOR,Certain,-10.247712,142.487912,0,Male,2018-01-14
CPOR,Certain,-16.099733,145.464949,0,Female,2017-11-27
CJOH,Certain,-13.163951,130.684749,0,Male,2017-10-17
CPOR,Certain,-16.530771,145.478664,1,Female,2017-10-10
CPOR,Certain,-16.95111,145.406424,0,Male,2017-07-15
CPOR,Certain,-14.348853,129.882824,0,Male,2017-05-09
CPOR,Certain,-17.169968,145.967092,1,Male,2017-03-18
CPOR,Certain,-17.519903,146.031427,0,Male,2017-03-18
CPOR,Certain,-12.426645,132.965391,1,Male,2017-01-19
CJOH,Certain,-15.792632,128.709411,0,Male,2016-11-04
CJOH,Certain,-16.044367,128.009062,0,Male,2016-09-29
CPOR,Certain,-16.172358,145.442679,1,Female,2016-05-29
CJOH,Certain,-14.7877,131.003597,0,Male,2016-04-25
CPOR,Certain,-15.481763,128.112951,0,Female,2016-01-13
CJOH,Certain,-15.71411,128.258059,0,Female,2016-01-12
CPOR,Certain,-14.666827,145.447268,0,Male,2015-12-02
CJOH,Certain,-13.163571,130.684758,0,Male,2015-09-13
CJOH,Certain,-13.163998,130.684764,0,Female,2015-09-04
CPOR,Certain,-15.534599,125.172589,0,Female,2015-07-03
CPOR,Certain,-12.328833,130.896924,0,Male,2015-05-16
CJOH,Certain,-18.700667,138.485845,0,Male,2015-05-02
CPOR,Certain,-16.528925,145.473076,0,Male,2015-04-13
